deviceid,latitude,longitude,datetime,leaving_datetime,cluster,category
268,37.5135853,126.88899765,2019-12-21 09:53:08,2019-12-21 10:54:23,0,주택>아파트
268,37.5270115,126.893686,2019-11-27 12:21:09,2019-11-27 12:55:25,1,none
268,37.5381282,127.12609325,2019-12-08 15:17:06,2019-12-08 17:03:23,2,"시설,건물>기업,빌딩"
268,37.52698505,126.9179153,2019-11-28 13:33:12,2019-11-28 14:46:00,3,"사회,복지>장애인복지시설"
268,37.5068017,126.89047725,2020-01-10 12:15:28,2020-01-10 17:32:13,4,"쇼핑,유통>쇼핑센터,할인매장"
268,37.51828565,126.8956207,2020-01-04 18:35:02,2020-01-04 19:48:25,5,"쇼핑,유통>슈퍼,마트"
268,37.5634942,126.851525,2019-11-29 15:35:56,2019-11-29 16:38:26,6,none
268,37.5532606,127.1550184,2020-01-12 14:22:59,2020-01-12 16:37:26,7,"시설,건물>기업,빌딩"
268,37.5127992,127.1008129,2020-01-03 14:54:18,2020-01-03 15:59:12,8,none
268,37.54041625,126.89113505,2019-12-09 14:01:27,2019-12-09 14:32:26,9,주택>아파트
268,37.51821795,127.14018485,2019-12-08 11:36:18,2019-12-08 13:36:54,10,종교>개신교
268,37.5097311,126.8880971,2019-12-31 11:56:39,2019-12-31 13:30:13,11,주택>오피스텔
268,37.564785,126.9880445,2019-12-30 14:11:16,2019-12-30 16:11:44,12,none
268,37.6759393,126.89001525,2019-12-30 10:51:44,2019-12-30 13:03:09,13,none
268,37.5495149,127.1274924,2019-12-25 16:00:43,2019-12-25 17:25:32,14,none
268,37.5302662,126.8990939,2019-12-23 13:50:30,2019-12-23 15:59:51,15,none
268,37.5428815,127.0453233,2019-12-20 16:39:03,2019-12-20 17:39:18,16,"시설,건물>기업,빌딩"
268,37.5447837,126.9505775,2019-12-19 16:43:50,2019-12-19 19:23:58,17,주택>주상복합
268,37.5251257,126.90312885,2019-12-19 13:03:00,2019-12-19 16:01:52,18,none
268,37.5170833,126.88945845,2019-12-18 11:59:03,2019-12-18 13:01:57,19,"시설,건물>기업,빌딩"
268,37.52321285,126.90965305,2019-12-10 15:38:22,2019-12-10 16:17:08,20,"카페,디저트>베이커리"
268,37.5377967,126.894607,2019-12-09 17:06:05,2019-12-09 19:11:58,21,"시설,건물>기업,빌딩"
268,37.5410723,127.1255626,2019-12-08 14:42:55,2019-12-08 15:17:06,22,주택>아파트
268,37.4490593,126.4517708,2019-12-06 17:57:12,2019-12-06 18:39:03,23,항공>공항
268,37.46763895,126.4331162,2019-12-06 16:26:52,2019-12-06 17:27:21,24,교통시설>주차장
268,37.5388959,126.7358135,2019-12-06 13:34:52,2019-12-06 15:40:05,25,"생활,편의>복권,로또"
268,37.5717496,126.736357,2019-12-06 11:55:41,2019-12-06 13:04:43,26,"교통,운수>민영주차장"
268,37.5220223,126.8946358,2019-12-03 11:53:33,2019-12-03 12:40:58,27,"쇼핑,유통>상가,아케이드"
