deviceid,latitude,longitude,arrive_time,leaving_time
142,37.5644482,127.0398815,2019-11-28 00:27:12,2019-11-28 01:32:43
142,37.5608322,127.04029589999999,2019-11-28 01:45:20,2019-11-28 02:51:14
142,37.56441635,127.0400738,2019-11-28 04:09:45,2019-11-28 05:06:04
142,37.5658436,127.0416776,2019-11-28 05:06:04,2019-11-28 06:11:32
142,37.56555925,127.04149125,2019-11-28 06:15:50,2019-11-28 08:05:41
142,37.5644367,127.0398757,2019-11-28 08:05:41,2019-11-28 12:05:08
142,37.5633671,127.0398661,2019-11-28 12:07:13,2019-11-28 13:02:03
142,37.5644326,127.0398766,2019-11-28 13:04:08,2019-11-28 14:51:32
142,37.5644517,127.0398743,2019-11-28 14:52:38,2019-11-28 22:45:34
142,37.56444355,127.03987485,2019-11-28 22:46:39,2019-11-29 01:42:15
