deviceid,latitude,longitude,datetime,leaving_datetime
256,37.514575,126.891999,2019-12-02 01:27:01,2019-12-02 03:26:10
256,37.514574,126.892014,2019-12-02 03:37:18,2019-12-02 04:08:47
256,37.514546,126.892061,2019-12-02 04:14:07,2019-12-02 05:19:34
256,37.514633,126.891914,2019-12-02 06:10:54,2019-12-02 06:51:00
256,37.514565,126.892029,2019-12-02 06:57:16,2019-12-02 09:15:44
256,37.5717785,126.9028905,2019-12-02 10:18:35,2019-12-02 12:52:20
256,37.571219,126.903249,2019-12-02 12:52:20,2019-12-02 13:27:13
256,37.571326,126.903453,2019-12-02 13:39:52,2019-12-02 15:31:56
256,37.517841,126.895144,2019-12-02 17:15:56,2019-12-02 17:58:31
256,37.514442,126.890335,2019-12-02 18:13:07,2019-12-03 09:24:16
