deviceid,latitude,longitude,year,week,category
274.0,37.55954221428572,126.81961854285714,2019.0,48.0,주택>아파트
274.0,37.56440805,126.965428,2019.0,48.0,none
274.0,37.6179195,126.922307225,2019.0,48.0,none
274.0,37.56515805,126.8486581,2019.0,48.0,"시설,건물>기업,빌딩"
274.0,37.5629707,126.96424415,2019.0,48.0,"시설,건물>기업,빌딩"
274.0,37.5656239,126.9663645,2019.0,48.0,none
274.0,37.5579474,126.85621155,2019.0,48.0,none
274.0,37.5726071,126.97263695,2019.0,48.0,none
274.0,37.6460418375,127.231976625,2019.0,49.0,종교>개신교
274.0,37.559555450000005,126.81972235,2019.0,49.0,주택>아파트
274.0,37.584012,126.969898,2019.0,49.0,none
274.0,37.57251625,126.9729314,2019.0,49.0,"시설,건물>기업,빌딩"
274.0,37.5649083,126.98791855,2019.0,49.0,"시설,건물>기업,빌딩"
